,Date,Site,N_counts,P_counts
1,5/27/2017,East dry,12,11
2,5/28/2017,West wet,11,11
3,5/29/2017,East wet,12,12
4,6/5/2017,East dry,13,12
5,6/5/2017,East wet,13,13
6,6/5/2017,West wet,14,13
7,6/11/2017,West wet,14,14
8,6/12/2017,East dry,12,10
9,6/12/2017,East wet,13,13
10,6/16/2017,East wet,20,17
11,6/17/2017,East dry,11,10
12,6/18/2017,West wet,19,18
13,6/22/2017,East wet,20,20
14,6/23/2017,East dry,13,12
15,6/24/2017,West wet,21,20
16,6/26/2017,East wet,8,8
17,6/27/2017,West wet,6,6
18,6/28/2017,East dry,2,0
19,6/29/2017,East wet,21,20
20,7/1/2017,East dry,15,14
21,7/1/2017,West wet,21,20
22,7/3/2017,East wet,21,20
23,7/5/2017,West wet,20,19
24,7/7/2017,East dry,19,19
25,7/10/2017,East wet,21,20
26,7/11/2017,East dry,18,18
27,7/12/2017,West wet,22,22
28,7/16/2017,East wet,22,22
29,7/18/2017,East dry,21,20
30,7/18/2017,West wet,16,14
31,7/21/2017,West wet,7,7
32,7/24/2017,East wet,23,23
33,7/25/2017,East dry,22,21
34,7/27/2017,West wet,22,21
35,7/30/2017,East dry,17,16
36,7/30/2017,East wet,20,20
37,8/3/2017,West wet,22,22
38,8/6/2017,East wet,23,23
39,8/7/2017,West wet,22,22
40,8/8/2017,East dry,21,15
41,8/12/2017,East wet,8,5
42,8/13/2017,East wet,24,22
43,8/14/2017,East dry,21,20
44,8/15/2017,West wet,23,23
45,8/19/2017,East wet,24,24
46,8/20/2017,East dry,22,21
47,8/21/2017,West wet,22,20
48,8/23/2017,West wet,8,7
49,8/24/2017,East dry,6,6
50,8/25/2017,East wet,7,7
51,8/29/2017,East dry,19,15
52,8/29/2017,East wet,22,21
53,8/30/2017,West wet,21,20
54,5/31/2018,West wet,19,16
55,6/1/2018,East wet,20,19
56,6/2/2018,East dry,15,13
57,6/9/2018,West wet,18,18
58,6/10/2018,East wet,23,22
59,6/11/2018,East dry,14,12
60,6/14/2018,East dry,19,16
61,6/15/2018,East wet,23,23
62,6/16/2018,West wet,17,16
63,6/20/2018,East dry,20,19
64,6/21/2018,West wet,20,20
65,6/24/2018,East wet,24,24
66,6/25/2018,East dry,7,5
67,6/26/2018,West wet,5,5
68,6/27/2018,East wet,8,8
69,6/28/2018,West wet,14,13
70,6/29/2018,East dry,11,10
71,6/29/2018,East wet,15,15
72,7/6/2018,West wet,19,18
73,7/7/2018,East wet,22,22
74,7/9/2018,East dry,18,4
75,7/14/2018,West wet,20,16
76,7/15/2018,East wet,23,23
77,7/16/2018,East dry,20,17
78,7/20/2018,West wet,15,15
79,7/21/2018,East dry,12,12
80,7/21/2018,East wet,15,13
81,7/23/2018,West wet,5,5
82,7/24/2018,East wet,8,8
83,7/25/2018,East dry,5,4
84,7/28/2018,West wet,19,17
85,7/29/2018,East wet,22,21
86,7/30/2018,East dry,14,12
87,8/2/2018,East dry,21,2
88,8/3/2018,East wet,23,21
89,8/4/2018,West wet,21,9
90,8/9/2018,West wet,19,9
91,8/12/2018,East dry,16,3
92,8/16/2018,West wet,19,18
93,8/17/2018,East dry,14,12
94,8/18/2018,East wet,21,21
95,8/20/2018,West wet,5,4
96,8/21/2018,East dry,2,2
97,8/22/2018,East wet,8,8
98,8/24/2018,West wet,19,18
99,8/27/2018,East dry,17,15
100,6/6/2019,East wet,16,15
101,6/7/2019,East dry,16,12
102,6/8/2019,West wet,16,13
103,6/9/2019,East wet,8,8
104,6/10/2019,East dry,8,7
105,6/11/2019,West wet,8,6
106,6/13/2019,East wet,24,23
107,6/14/2019,East dry,24,19
108,6/15/2019,West wet,24,19
109,6/19/2019,East wet,24,23
110,6/20/2019,East dry,24,15
111,6/21/2019,West wet,24,15
112,7/24/2019,East dry,21,21
113,7/25/2019,East wet,24,24
114,7/26/2019,West wet,24,20
115,8/1/2019,East dry,24,19
116,8/2/2019,East wet,24,23
117,8/3/2019,West wet,22,22
118,8/7/2019,East dry,20,19
119,8/8/2019,East wet,24,24
120,8/9/2019,West wet,20,20
121,8/12/2019,East dry,24,18
122,8/13/2019,East wet,24,24
123,8/14/2019,West wet,20,20
124,9/6/2020,East wet,16,16
125,9/7/2020,East dry,16,16
126,9/8/2020,West wet,15,15
127,6/6/2021,East dry,16,16
128,6/6/2021,East wet,16,16
129,6/8/2021,West wet,16,16
,,,,
,,,,
,,,,
,,,,
