Date,Site,Treatment,plot,pH
6/6/2019,Hydric,Snowfence,1,7.48
6/6/2019,Hydric,Snowfence,2,7.42
6/6/2019,Hydric,Snowfence,3,7.46
6/6/2019,Hydric,Snowfence,4,7.53
6/6/2019,Hydric,Snowfence,5,7.5
6/6/2019,Hydric,Snowfence,6,7.76
6/6/2019,Hydric,Snowfence,7,7.7
6/6/2019,Hydric,Snowfence,8,7.58
6/6/2019,Hydric,Control,1,7.44
6/6/2019,Hydric,Control,2,7.61
6/6/2019,Hydric,Control,3,7.28
6/6/2019,Hydric,Control,4,7.64
6/6/2019,Hydric,Control,5,7.53
6/6/2019,Hydric,Control,6,7.57
6/6/2019,Hydric,Control,7,7.51
6/6/2019,Hydric,Control,8,7.64
6/7/2019,Xeric,Snowfence,1,7.64
6/7/2019,Xeric,Snowfence,2,7.48
6/7/2019,Xeric,Snowfence,3,7.67
6/7/2019,Xeric,Snowfence,4,7.46
6/7/2019,Xeric,Snowfence,5,7.87
6/7/2019,Xeric,Snowfence,6,7.87
6/7/2019,Xeric,Snowfence,7,7.9
6/7/2019,Xeric,Snowfence,8,7.9
6/7/2019,Xeric,Control,1,7.27
6/7/2019,Xeric,Control,2,7.81
6/7/2019,Xeric,Control,3,7.08
6/7/2019,Xeric,Control,4,7.75
6/7/2019,Xeric,Control,5,
6/7/2019,Xeric,Control,6,7.43
6/7/2019,Xeric,Control,7,7.56
6/7/2019,Xeric,Control,8,7.97
6/8/2019,Mesic,Snowfence,1,7.26
6/8/2019,Mesic,Snowfence,2,7.75
6/8/2019,Mesic,Snowfence,3,6.97
6/8/2019,Mesic,Snowfence,4,7.3
6/8/2019,Mesic,Snowfence,5,7.91
6/8/2019,Mesic,Snowfence,6,6.96
6/8/2019,Mesic,Snowfence,7,6.88
6/8/2019,Mesic,Snowfence,8,6.95
6/8/2019,Mesic,Control,1,7.34
6/8/2019,Mesic,Control,2,6.55
6/8/2019,Mesic,Control,3,6.83
6/8/2019,Mesic,Control,4,7.28
6/8/2019,Mesic,Control,5,
6/8/2019,Mesic,Control,6,6.96
6/8/2019,Mesic,Control,7,7.24
6/8/2019,Mesic,Control,8,7.54
6/9/2019,Hydric,Ancillary,1,7.58
6/9/2019,Hydric,Ancillary,2,7.62
6/9/2019,Hydric,Ancillary,3,7.8
6/9/2019,Hydric,Ancillary,4,7.7
6/9/2019,Hydric,Ancillary,5,7.48
6/9/2019,Hydric,Ancillary,6,7.58
6/9/2019,Hydric,Ancillary,7,7.59
6/9/2019,Hydric,Ancillary,8,7.57
6/9/2019,Hydric,Fert,1,7.4
6/9/2019,Hydric,Fert,2,7.72
6/9/2019,Hydric,Fert,3,7.14
6/9/2019,Hydric,Fert,4,7.69
6/9/2019,Hydric,Fert,5,7.75
6/10/2019,Xeric,Ancillary,1,7.8
6/10/2019,Xeric,Ancillary,2,7.86
6/10/2019,Xeric,Ancillary,3,7.73
6/10/2019,Xeric,Ancillary,4,7.32
6/10/2019,Xeric,Ancillary,5,7.22
6/10/2019,Xeric,Ancillary,6,7.74
6/10/2019,Xeric,Ancillary,7,7.35
6/10/2019,Xeric,Ancillary,8,7.24
6/10/2019,Xeric,Fert,1,7.56
6/10/2019,Xeric,Fert,2,7.63
6/10/2019,Xeric,Fert,3,
6/10/2019,Xeric,Fert,4,7.24
6/10/2019,Xeric,Fert,5,7.55
6/11/2019,Mesic,Ancillary,1,6.68
6/11/2019,Mesic,Ancillary,2,
6/11/2019,Mesic,Ancillary,3,
6/11/2019,Mesic,Ancillary,4,7.01
6/11/2019,Mesic,Ancillary,5,6.75
6/11/2019,Mesic,Ancillary,6,6.95
6/11/2019,Mesic,Ancillary,7,6.91
6/11/2019,Mesic,Ancillary,8,7.07
6/11/2019,Mesic,Fert,1,7.16
6/11/2019,Mesic,Fert,2,6.66
6/11/2019,Mesic,Fert,3,6.78
6/11/2019,Mesic,Fert,4,6.87
6/11/2019,Mesic,Fert,5,7.06
