site,tree,trt,June2018N,August2018N,August2017N
Hydric,1,C,0.63,0.68,0.9
Hydric,1,S,0.57,0.52,0.9
Hydric,2,C,0.84,0.76,0.96
Hydric,2,S,0.62,0.74,0.91
Hydric,3,C,0.57,0.89,1.02
Hydric,3,S,0.55,0.75,0.93
Hydric,4,C,0.45,0.80,0.83
Hydric,4,S,0.56,0.60,0.96
Hydric,5,C,0.53,0.91,0.89
Hydric,5,S,0.50,0.94,0.87
Hydric,6,C,0.75,0.61,0.83
Hydric,6,S,0.59,0.85,1.08
Hydric,7,C,0.49,1.20,1
Hydric,7,S,0.54,0.65,1.01
Hydric,8,C,0.61,0.76,1
Hydric,8,S,0.87,0.88,1.1
Mesic,1,C,0.59,0.60,0.96
Mesic,1,S,0.58,0.71,0.83
Mesic,2,C,0.93,0.71,1.01
Mesic,2,S,0.47,0.55,0.82
Mesic,3,C,0.55,0.60,0.85
Mesic,3,S,0.54,0.75,0.84
Mesic,4,C,0.39,0.63,0.87
Mesic,4,S,0.60,0.76,0.81
Mesic,5,C,0.61,0.54,0.98
Mesic,5,S,0.65,0.58,1
Mesic,6,C,0.65,0.63,0.84
Mesic,6,S,0.51,0.70,1.04
Mesic,7,C,0.54,0.69,0.9
Mesic,7,S,0.63,0.72,0.94
Mesic,8,C,0.58,0.82,0.95
Mesic,8,S,0.54,0.86,0.94
Xeric,1,C,0.70,0.62,1.06
Xeric,1,S,0.67,0.72,1.08
Xeric,2,C,0.76,0.76,1.11
Xeric,2,S,0.66,0.82,1.41
Xeric,3,C,1.05,0.89,0.97
Xeric,3,S,0.88,0.63,1.22
Xeric,4,C,0.66,0.97,0.82
Xeric,4,S,0.52,0.80,0.69
Xeric,5,C,0.63,1.09,1.13
Xeric,5,S,0.47,0.75,0.76
Xeric,6,C,0.65,0.81,1.22
Xeric,6,S,0.74,0.74,1.21
Xeric,7,C,0.77,0.61,0.67
Xeric,7,S,0.77,0.68,1.34
Xeric,8,C,0.56,0.66,0.56
Xeric,8,S,0.61,0.67,0.6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
