site,trt,tree,year,growth_mm.mean
Hydric,ctl,1,2017,26.825
Hydric,ctl,2,2017,20.95
Hydric,ctl,3,2017,21.9
Hydric,ctl,4,2017,21.55
Hydric,ctl,5,2017,27.325
Hydric,ctl,6,2017,15.7
Hydric,ctl,7,2017,36.4
Hydric,ctl,8,2017,29
Hydric,snow,1,2017,21.35
Hydric,snow,2,2017,28.525
Hydric,snow,3,2017,33.525
Hydric,snow,4,2017,23.6
Hydric,snow,5,2017,24.375
Hydric,snow,6,2017,15.6
Hydric,snow,7,2017,47.5
Hydric,snow,8,2017,26.8
Mesic,ctl,1,2017,18.75
Mesic,ctl,2,2017,17.575
Mesic,ctl,3,2017,16.675
Mesic,ctl,4,2017,15.8
Mesic,ctl,5,2017,16.025
Mesic,ctl,6,2017,19.65
Mesic,ctl,7,2017,19.15
Mesic,ctl,8,2017,19.625
Mesic,snow,1,2017,22.275
Mesic,snow,2,2017,20.75
Mesic,snow,3,2017,19.475
Mesic,snow,4,2017,19.95
Mesic,snow,5,2017,18.75
Mesic,snow,6,2017,18.675
Mesic,snow,7,2017,17.35
Mesic,snow,8,2017,16.775
Xeric,ctl,1,2017,28.475
Xeric,ctl,2,2017,24.75
Xeric,ctl,3,2017,36.175
Xeric,ctl,4,2017,42.275
Xeric,ctl,5,2017,29.975
Xeric,ctl,6,2017,29.175
Xeric,ctl,7,2017,22.575
Xeric,ctl,8,2017,23.475
Xeric,snow,1,2017,28.75
Xeric,snow,2,2017,28.875
Xeric,snow,3,2017,36.55
Xeric,snow,4,2017,40.175
Xeric,snow,5,2017,21.1
Xeric,snow,6,2017,24.975
Xeric,snow,7,2017,64.575
Xeric,snow,8,2017,25.725
Hydric,ctl,1,2018,28.8
Hydric,ctl,2,2018,18.8
Hydric,ctl,3,2018,26
Hydric,ctl,4,2018,20.2
Hydric,ctl,5,2018,26.55
Hydric,ctl,6,2018,13.425
Hydric,ctl,7,2018,33.4
Hydric,ctl,8,2018,25.55
Hydric,snow,1,2018,28.85
Hydric,snow,2,2018,34.55
Hydric,snow,3,2018,35.15
Hydric,snow,4,2018,25.225
Hydric,snow,5,2018,29.975
Hydric,snow,6,2018,15.575
Hydric,snow,7,2018,39.25
Hydric,snow,8,2018,21.65
Mesic,ctl,1,2018,18.925
Mesic,ctl,2,2018,17.125
Mesic,ctl,3,2018,14.475
Mesic,ctl,4,2018,14.625
Mesic,ctl,5,2018,14.375
Mesic,ctl,6,2018,19.45
Mesic,ctl,7,2018,15.6
Mesic,ctl,8,2018,17.75
Mesic,snow,1,2018,26.65
Mesic,snow,2,2018,21.5
Mesic,snow,3,2018,21.05
Mesic,snow,4,2018,24.625
Mesic,snow,5,2018,17.975
Mesic,snow,6,2018,18.675
Mesic,snow,7,2018,17.975
Mesic,snow,8,2018,14.4
Xeric,ctl,1,2018,24.5
Xeric,ctl,2,2018,24.625
Xeric,ctl,3,2018,32.275
Xeric,ctl,4,2018,36.825
Xeric,ctl,5,2018,35.85
Xeric,ctl,6,2018,29.5
Xeric,ctl,7,2018,18.175
Xeric,ctl,8,2018,26.05
Xeric,snow,1,2018,30.675
Xeric,snow,2,2018,24.95
Xeric,snow,3,2018,37.625
Xeric,snow,4,2018,39.275
Xeric,snow,5,2018,24.75
Xeric,snow,6,2018,27.625
Xeric,snow,7,2018,42.225
Xeric,snow,8,2018,23.875
Hydric,ctl,1,2019,30.45
Hydric,ctl,2,2019,25.625
Hydric,ctl,3,2019,22.725
Hydric,ctl,4,2019,26.225
Hydric,ctl,5,2019,31.025
Hydric,ctl,6,2019,12.55
Hydric,ctl,7,2019,34.675
Hydric,ctl,8,2019,29.475
Hydric,snow,1,2019,28.475
Hydric,snow,2,2019,44.85
Hydric,snow,3,2019,35.95
Hydric,snow,4,2019,30.125
Hydric,snow,5,2019,43.1
Hydric,snow,6,2019,18.95
Hydric,snow,7,2019,38.525
Hydric,snow,8,2019,25.65
Mesic,ctl,1,2019,19.1
Mesic,ctl,2,2019,14.625
Mesic,ctl,3,2019,18.05
Mesic,ctl,4,2019,14.05
Mesic,ctl,5,2019,15.825
Mesic,ctl,6,2019,16.425
Mesic,ctl,7,2019,17.325
Mesic,ctl,8,2019,17.9
Mesic,snow,1,2019,29.35
Mesic,snow,2,2019,23.275
Mesic,snow,3,2019,22.925
Mesic,snow,4,2019,32.325
Mesic,snow,5,2019,17.75
Mesic,snow,6,2019,18.175
Mesic,snow,7,2019,20.875
Mesic,snow,8,2019,14.975
Xeric,ctl,1,2019,21.725
Xeric,ctl,2,2019,24.05
Xeric,ctl,3,2019,30.85
Xeric,ctl,4,2019,33.25
Xeric,ctl,5,2019,44.3
Xeric,ctl,6,2019,24.3
Xeric,ctl,7,2019,22.45
Xeric,ctl,8,2019,37.25
Xeric,snow,1,2019,27.875
Xeric,snow,2,2019,25.2
Xeric,snow,3,2019,42.675
Xeric,snow,4,2019,34.95
Xeric,snow,5,2019,29.075
Xeric,snow,6,2019,23.325
Xeric,snow,7,2019,42.75
Xeric,snow,8,2019,26.675
